Time (ps),ETOT
244.2,-573513.6076
244.4,-573074.4992
244.6,-573127.7241
244.8,-572919.7343
245.0,-572814.0983
245.2,-573124.4311
245.4,-573068.5145
245.6,-573195.6455
245.8,-572930.9164
246.0,-572912.1171
246.2,-572835.0239
246.4,-572759.3367
246.6,-572877.0764
246.8,-572699.2259
247.0,-572899.8972
247.2,-573198.8205
247.4,-573189.5571
247.6,-573068.6375
247.8,-573121.8382
248.0,-573150.4627
248.2,-573055.6517
248.4,-573290.0669
248.6,-573429.5276
248.8,-573214.3747
249.0,-573211.8268
249.2,-573321.3772
249.4,-573422.3794
249.6,-573272.9791
249.8,-573064.4426
250.0,-573152.0465
250.2,-572950.4127
250.4,-573081.8477
250.6,-572877.5713
250.8,-572869.0135
251.0,-572902.5055
251.2,-573018.9761
251.4,-573207.7898
251.6,-573197.5881
251.8,-573338.358
252.0,-573429.9714
252.2,-573394.3598
252.4,-573602.9403
252.6,-573483.1376
252.8,-573772.6901
253.0,-573713.2047
253.2,-573768.8617
253.4,-573737.885
253.6,-573480.0408
253.8,-573525.5837
254.0,-573144.8818
254.2,-573004.1424
254.4,-573298.3283
254.6,-573107.6449
254.8,-573157.1166
255.0,-572961.224
255.2,-573007.0098
255.4,-573173.6174
255.6,-573281.1212
255.8,-573036.6626
256.0,-573201.2948
256.2,-573331.8727
256.4,-573435.1355
256.6,-573814.029
256.8,-573840.8925
257.0,-573749.64
257.2,-573559.0787
257.4,-573521.3897
257.6,-573769.9523
257.8,-573896.4309
258.0,-573972.2456
258.2,-574205.6314
258.4,-574195.5299
258.6,-573792.5321
258.8,-573549.1451
259.0,-573444.9704
259.2,-573670.2978
259.4,-573378.0122
259.6,-573870.7982
259.8,-573972.1124
260.0,-573788.3994
260.2,-574044.6328
260.4,-573496.6114
260.6,-573274.1096
260.8,-573321.0864
261.0,-573409.788
261.2,-573454.4004
261.4,-573349.2302
261.6,-573255.1541
261.8,-573201.7497
262.0,-573045.9741
262.2,-573423.1884
262.4,-573564.6091
262.6,-573187.0567
262.8,-573093.5204
263.0,-573136.4063
263.2,-573188.422
263.4,-573295.846
263.6,-573501.4807
263.8,-573477.5954
264.0,-573160.0606
264.2,-573641.5006
264.4,-573623.1949
264.6,-573586.9768
264.8,-573790.8613
265.0,-573593.1071
265.2,-573742.582
265.4,-573417.4725
265.6,-573649.8286
265.8,-573543.161
266.0,-572994.7515
266.2,-572938.6906
266.4,-573165.6216
266.6,-573204.2289
266.8,-573480.4113
267.0,-573413.2587
267.2,-573119.7784
267.4,-573490.5599
267.6,-573357.9071
267.8,-573250.5284
268.0,-573695.6475
268.2,-573983.7752
268.4,-573650.347
268.6,-573567.226
268.8,-573862.7145
269.0,-573986.2244
269.2,-573643.5158
269.4,-573862.2733
269.6,-573971.1442
269.8,-573978.7178
270.0,-573542.7465
270.2,-573920.0577
270.4,-573445.758
270.6,-573107.6626
270.8,-573287.8149
271.0,-573305.1452
271.2,-573360.5249
271.4,-573395.1741
271.6,-573426.0774
271.8,-573039.7874
272.0,-573468.4311
272.2,-573895.2686
272.4,-573959.5003
272.6,-573789.4315
272.8,-573748.8073
273.0,-573700.0961
273.2,-573976.0563
273.4,-574017.294
273.6,-574126.2072
273.8,-574073.0378
274.0,-573573.1057
274.2,-573155.186
274.4,-573352.8938
274.6,-573645.3182
274.8,-573639.4319
275.0,-573441.6373
275.2,-573632.3312
275.4,-574120.3039
275.6,-574082.6068
275.8,-573932.6784
